id,type,name,status,description,startTime,duration,epic
1,TASK,Задача с незаполненным временем,NEW,Описание нулевой задачи, ,10,
2,TASK,Первая задача,NEW,Описание первой задачи,25.06.2023 12:05:00,10,
3,TASK,Задача с незаполненным временем2,NEW,Описание нулевой задачи2, ,10,
4,TASK,Вторая задача,NEW,Описание второй задачи,27.06.2023 14:34:00,7,
5,EPIC,Первый Epic,NEW,Описание первого эпика,14.06.2023 09:15:00,28,
9,EPIC,Второй Epic,NEW,Описание второго эпика, ,20,
6,SUBTASK,Первая подзадача,NEW,Описание первой подзадачи,14.06.2023 09:15:00,5,5
7,SUBTASK,Вторая подзадача,NEW,Описание второй подзадачи,15.06.2023 18:23:00,15,5
8,SUBTASK,Третья подзадача,NEW,Описание третьей подзадачи,29.06.2023 15:10:00,8,5

2,3,4,1,6,7,8
